,,,,,Result: Topic: % Pos/ % Neg / Total Mentions,,,,,,,,
,,,,,Firmware: 29.8913043478%/ 70.1086956522%/ 184,,,,,,,,
,,,,,Installation 56.0137457045%/ 43.9862542955%/ 873,,,,,,,,
,,,,,Performance: 43.6974789916%/ 56.3025210084%/ 476,,,,,,,,
,,,,,Usability: 51.2779552716%/ 48.7220447284%/ 626,,,,,,,,
,,,,,Support: 24.5238095238%/ 75.4761904762%/ 420,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Firmware,Installation,Performance,Usability,Support,,,,,,,,20.65%
Positive,20.65%,45.82%,60.71%,34.35%,36.67%,,,,,,,,
Negative,79.35%,54.18%,39.29%,65.65%,63.33%,,,,,,,,
,184,873,476,626,420,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Firmware,Installation,Performance,Usability,Support,,,,,
,,SVM,Positive,29.89%,56.01%,43.70%,51.28%,24.52%,,,,,
,,,Negative,70.11%,43.99%,56.30%,48.72%,75.48%,,,,,
,,,Net Sentiment,Negative,Positive,Negative,Positive,Negative,,,,,
,,Naïve Bayes,Positive,8.70%,40.44%,68.49%,34.03%,18.57%,,,,,
,,,Negative,91.30%,59.56%,31.51%,65.97%,81.43%,,,,,
,,,Net Sentiment,Negative,Negative,Positive,Negative,Negative,,,,,
,,PMI,Positive,20.65%,45.82%,60.71%,34.35%,36.67%,,,,,
,,,Negative,79.35%,54.18%,39.29%,65.65%,63.33%,,,,,
,,,Net Sentiment,Negative,Negative,Positive,Negative,Negative,,,,,
